先计算p矩阵的p_ij,,,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,,,,,,,,
2011,0.0005,0.0002,0.0008,,,,,,,,,
2012,0.0008,0.0003,0.0012,,,,,,,,,
2013,0.0012,0.0008,0.0014,,,,,,,,,
2014,0.0049,0.0034,0.0056,,,,,,,,,
2015,0.0219,0.0119,0.0237,,,,,,,,,
2016,0.0335,0.0258,0.0318,,,,,,,,,
2017,0.0513,0.0434,0.0473,,,,,,,,,
2018,0.0829,0.0739,0.0786,,,,,,,,,
2019,0.0796,0.1079,0.0823,,,,,,,,,
2020,0.0903,0.1393,0.0949,,,,,,,,,
2021,0.2325,0.2220,0.2356,,,,,,,,,
2022,0.4006,0.3710,0.3970,,,,,,,,,
,,,,,,,,,,,,
(p_ij * ln p_ij),,,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,,,,,,,,
2011,-0.0041,-0.0017,-0.0056,,,,,,,,,
2012,-0.0060,-0.0025,-0.0079,,,,,,,,,
2013,-0.0079,-0.0060,-0.0093,,,,,,,,,
2014,-0.0262,-0.0193,-0.0290,,,,,,,,,
2015,-0.0836,-0.0527,-0.0886,,,,,,,,,
2016,-0.1137,-0.0945,-0.1096,,,,,,,,,
2017,-0.1524,-0.1362,-0.1443,,,,,,,,,
2018,-0.2065,-0.1924,-0.1999,,,,,,,,,
2019,-0.2015,-0.2402,-0.2055,,,,,,,,,
2020,-0.2171,-0.2746,-0.2235,,,,,,,,,
2021,-0.3392,-0.3341,-0.3406,,,,,,,,,
2022,-0.3665,-0.3679,-0.3668,,,,,,,,,
,,,,,,,,,,,,
计算信息熵（n = 2022 - 2011 + 1 = 12）,,,,,,,,,,,,
e1,0.6940,,,,,,,,,,,
e2,0.6923,,,,,,,,,,,
e3,0.6899,,,,,,,,,,,
经计算发现三者权重基本相同,,,,,,,,,,,,
,,,,,,,,,,,,
3. 计算得分并归一化,,,,,,,,,,,,
定义最大值,"Z+   =  (Z1+,    Z2+,   Z3+)   =  ( max{z11, z21, .., zn1} ,  max{z12,z22, ..., zn2} , max{z13, z23, ... , zn3}   )",,,,,,,,,,,
定义最小值,"Z-    =   (Z1-,     Z2-,    Z3-)    =   (min{一样}   ,   min {一样}， min{一样})",,,,,,,,,,,
,,,,,,,,,,,,
"定义第i（i=1，2，..., n）评价对象(年份)与最大值的距离",,,,,,,,,,,,
Di+  = sqrt(sum(j = 1 to m) (Zj+  - z_ij)平方  ),,,,,,,,,,,,
,,,,,,,,,,,,
"定义第i（i=1，2，..., n）评价对象(年份)与最小值的距离",,,,,,,,,,,,
Di-  = sqrt(sum(j = 1 to m) (Zj-  - z_ij)平方  ),,,,,,,,,,,,
,,,,,,,,,,,,
我们可以计算得出第i（i=1，2，...，n）个评价对象未归一化的得分：,,,,,,,,,,,,
Si = Di- / （Di+  +    Di-）,,,,,,,,,,,,
,,,,,,,,,,,,
最终得到各年发展的分指标，如下所示,,,,,,,,,,,,
标准化数据如下表,,,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,Di+,Di-,（未归一化）Si,（归一化）发展得分,,Year,Development scores,
2011,0.0011,0.0004,0.0016,,1.389787413,0,0.000,0.000,,2011,0.000,
2012,0.0017,0.0007,0.0024,,1.388829118,0.001031792077,0.001,0.000,,2012,0.000,
2013,0.0024,0.0018,0.0029,,1.387518658,0.002271860028,0.002,0.001,,2013,0.001,
2014,0.0101,0.0071,0.0114,,1.374996141,0.01492874975,0.011,0.004,,2014,0.004,
2015,0.0446,0.0250,0.0484,,1.323225969,0.06847214306,0.049,0.019,,2015,0.019,
2016,0.0683,0.0544,0.0650,,1.28306138,0.1070151829,0.077,0.030,,2016,0.030,
2017,0.1047,0.0914,0.0967,,1.222440765,0.1674916782,0.121,0.047,,2017,0.047,
2018,0.1692,0.1553,0.1608,,1.111265372,0.2785953328,0.200,0.078,,2018,0.078,
2019,0.1625,0.2268,0.1683,,1.072245459,0.3242076054,0.232,0.091,,2019,0.091,
2020,0.1842,0.2930,0.1942,,1.010076296,0.3952626574,0.281,0.110,,2020,0.110,
2021,0.4744,0.4669,0.4820,,0.5699763669,0.8199826635,0.590,0.230,,2021,0.230,
2022,0.8175,0.7801,0.8122,,0,1.389787413,1.000,0.390,,2022,0.390,
,,,,,,,,,,,,
Z+,0.8175,0.7801,0.8122,,,,,,,,,
Z-,0.0011,0.0004,0.0016,,,,,,,,,
,,,,,,,,,,,,
原始数据因素,,,,,,,,,,,,
Year,"Charging Piles (10,000s)",Cost per km (rmb),New Energy Patents , NEV Production,Per Capita Disposable Income (rmb),Positive Government Policies,"NEV Enterprise Registrations (10,000s)","Fuel Cell Sales (10,000s)",,Development Score,,
2011,0.0076,1.3,883,0.84,14551,3,0.12,435,,,,
2012,0.8281,1.3,1344,1.26,16510,5,0.21,1770,,,,
2013,1.9,1.2,2024,1.7533,18311,7,0.51,1516,,,,
2014,2.8,1.1,3111,7.85,20167,10,0.92,601,,,,
2015,4.9,1,4566,34.05,21966,13,1.28,425,,,,
2016,14.12,0.9,8205,51.7,23821,15,1.92,2045,,,,
2017,44,0.8,12262,79.4,25974,18,2.51,801,,,,
2018,77.7,0.7,17647,127,28228,40,3.85,2314,,,,
2019,121.9,0.6,18498,124.2,30733,70,4.1,2715,,,,
2020,168.1,0.5,19739,136.6,32189,81,7.52,500,,,,
2021,261.7,0.4,21300,216.6,35128,92,17.06,1556,,,,
2022,520.9,0.4,24700,500,36883,101,23.94,3368,,,,
,,,,,,,,,,,,
标准化因素数据,,,,,,,,,,,,
Year,"Charging Piles (10,000s)",Cost per km (rmb),New Energy Patents , NEV Production,Per Capita Disposable Income (rmb),Positive Government Policies,"NEV Enterprise Registrations (10,000s)",Development Score,,,燃料电池销售量,"Fuel Cell Sales (10,000s)"
2011,0.0000,0.4132,0.0182,0.0014,0.1595,0.0166,0.0039,0.000,,,,0.0708
2012,0.0013,0.4132,0.0277,0.0021,0.1810,0.0277,0.0068,0.000,,,,0.2882
2013,0.0030,0.3814,0.0416,0.0029,0.2007,0.0388,0.0164,0.001,,,,0.2468
2014,0.0045,0.3496,0.0640,0.0131,0.2211,0.0554,0.0296,0.004,,,,0.0978
2015,0.0078,0.3178,0.0940,0.0570,0.2408,0.0720,0.0412,0.019,,,,0.0692
2016,0.0226,0.2860,0.1688,0.0865,0.2611,0.0830,0.0618,0.030,,,,0.3329
2017,0.0704,0.2543,0.2523,0.1328,0.2847,0.0997,0.0808,0.047,,,,0.1304
2018,0.1242,0.2225,0.3631,0.2125,0.3094,0.2214,0.1239,0.078,,,,0.3767
2019,0.1949,0.1907,0.3806,0.2078,0.3369,0.3875,0.1320,0.091,,,,0.4420
2020,0.2688,0.1589,0.4062,0.2285,0.3528,0.4484,0.2421,0.110,,,,0.0814
2021,0.4184,0.1271,0.4383,0.3623,0.3851,0.5093,0.5491,0.230,,,,0.2533
2022,0.8329,0.1271,0.5082,0.8364,0.4043,0.5592,0.7706,0.390,,,,0.5483
,,,,,,,,,,,,
各个指标与发展得分的相关关系表,,,,,,,,,,,,
指标,充电桩数量（万台）,每公里电成本,新能源专利申请,新能源汽车生产量（万）,人均可支配收入,政府积极政策数量,新能源汽车企业注册量（万）,燃料电池销售量,,,,
相关系数,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,
,,,,,,,,,,,,
是否纳入,要,要,要,要,要,要,要,不要,,,,
